Who makes sure that every bit of text on a site, from long explanatory text down to the labels on buttons, supports the brand identity and marketing goals of the organization?;Content Strategist;1;Web Development
Who organizes the content logically and for ease of findability?;Information Architect;1;Web Development
What shows the structure of a web page using only outlines for each content type and widget?;Wireframe;1;Web Development
What involves the design of the entire process of acquiring and integrating the product, including aspects of branding, design, usability and function?;UX Design;1;Web Development
Who is the organization that oversees the development of web technologies such as HTML, CSS, and JavaScript?;W3C;1;Web Development
Which protocol works in tandem with another protocol, SSL (for Secure Socket Layer), which needs to be enabled on the server for secure transactions to work?;HTTPS;1;Web Development
What do you call applications running on the user’s machine?;Client-side;1;Web Development
What do you call applications and functions using the processing power of the server computer?;Server-side;1;Web Development
What do you call the sites where content and data is accessed from a database, and the final pages may be customized for each user?;Dynamic Sites;1;Web Development
What is the flip side of an approach to browser diversity called graceful degradation, in which you design the fully enhanced experience first, then create a series of fallbacks for non-supporting browsers?;Progressive Enhancement;1;Web Development
What is a strategy for providing appropriate layouts to devices based on the size of the viewport (browser window)?;Responsive Web Design;1;Web Development
Web designers must build pages in a manner that creates as few barriers as possible to getting to information, regardless of the user’s ability and the device used to access the web. In other words, what must you design it for?;Accessibility;1;Web Development
What refers to marking up documents in ways that provide information about the content itself rather than information about the visual styling of the content?;Semantic Markup;2;Web Development
Which display value always starts on a new line, and the browsers automatically add some space (a margin) before and after the element?;Block;2;Web Development
Which display value only takes up as much width as necessary?;Inline;2;Web Development
What are instructions that clarify or modify an element?;Attributes;2;Web Development
Which tag would you use when you have a long quotation, a testimonial, or a section of copy from another source?;Blockquote;2;Web Development
In some types of information, such as code examples or certain poems, the whitespace is important for conveying meaning. Which tag would you use to preserve whitespace?;pre;2;Web Development
Which tag is used for introductory material that typically appears at the beginning of a web page or at the top of a section or article?;header;2;Web Development
Which element is used to indicate the type of information that typically comes at the end of a page or an article, such as its author, copyright information, related documents, or navigation?;footer;2;Web Development
For example, books are divided into chapters, and newspapers have sections for local news, sports, comics, and so on. Which element typically include a heading (inside the parent element) plus content that has a meaningful reason to be grouped together?;section;2;Web Development
Which element is useful for magazine or newspaper articles, blog posts, comments, or other items that could be extracted for external use?;article;2;Web Development
Which element identifies content that is separate from, but tangentially related to, the surrounding content? In print, its equivalent is a sidebar.;aside;2;Web Development
What is used to assign a unique identifier to an element in the document?;id;2;Web Development
What symbol denotes document fragments?;#;2;Web Development
What describes how an element or group of elements should be displayed in CSS?;Style Rules;3;Web Development
What identifies the element or elements to be affected in CSS?;Selector;3;Web Development
What provides the rendering instructions in CSS?;Declaration;3;Web Development
What is the type of style sheets advocating for separate, text-only document that contains the style rules?;External;3;Web Development
What is the type of style sheets that is placed in a document via the style element, and its rules apply only to that document?;Embedded;3;Web Development
What do you call all elements contained within a given element?;Descendants;3;Web Development
What happens when several sources of style information vie for control of the elements on a page?;Cascade;3;Web Development
What images (format) contain paths that are defined mathematically?;svg;7;Web Development
What attribute should serve as a substitute for the image content—conveying the same information and function?;alt;7;Web Development
What is the stretching of a cell to cover several rows or columns?;cell spanning;7;Web Development
Which element is a container for all the content of the form, including some number of form controls, such as text-entry fields and buttons?;Form;7;Web Development
Which attribute provides the location (URL) of the application or script that will be used to process the form?;Action;7;Web Development
Which attribute specifies how the information should be sent to the server?;Method;7;Web Development
True or False | All form controls (except submit and reset buttons) must include a name attribute.;true;7;Web Development
